,class_names
13459,"Domestic animals, pets,Whimper,Animal"
13460,"Stir,Frying (food)"
13461,"Dial tone,Speech"
13462,Drum and bass
13463,"Goat,Speech,Animal"
13464,"Tapping (guitar technique),Guitar,Music,Musical instrument,Chorus effect,Plucked string instrument"
13465,"Jazz,Music"
13466,"Music,Steelpan"
13467,"Rattle (instrument),Rattle,Speech"
13468,"Railroad car, train wagon,Train whistle,Rail transport,Train,Clickety-clack,Train wheels squealing"
13469,"Music,Independent music"
13470,Sewing machine
13471,"Crying, sobbing"
13472,"Bird vocalization, bird call, bird song,Music,Reggae,Chirp, tweet,Outside, rural or natural"
13473,"Mouse,Animal"
13474,"Bird,Bird vocalization, bird call, bird song,Chirp, tweet"
13475,Chopping (food)
13476,"Boat, Water vehicle,Field recording,Speech,Outside, rural or natural"
13477,"Beep, bleep,Speech"
13478,Hammer
13479,"Ambulance (siren),Emergency vehicle,Siren"
13480,Vacuum cleaner
13481,"Splash, splatter,Speech"
13482,"Music,Rapping,Rhythm and blues"
13483,Clarinet
13484,"Babbling,Speech,Inside, small room"
13485,"Smoke detector, smoke alarm,Music"
13486,"Chainsaw,Speech,Inside, small room"
13487,"Beatboxing,Music"
13488,"Brass instrument,Clarinet,Trombone"
13489,Bell
13490,Breathing
13491,"Buzz,Speech"
13492,"Wind chime,Chime"
13493,"Printer,Speech"
13494,Fart
13495,"Slap, smack"
13496,Vacuum cleaner
13497,Vacuum cleaner
13498,"Folk music,Guitar,Music,Musical instrument,Plucked string instrument"
13499,"Electronic music,Music,Electronic dance music"
13500,"Speech,Child singing"
13501,"Speech,Microwave oven"
13502,"Turkey,Fowl,Gobble"
13503,"Music,Roll"
13504,"Wind instrument, woodwind instrument,Shofar"
13505,"Speech,Crumpling, crinkling,Inside, small room"
13506,Stomach rumble
13507,"Ambulance (siren),Emergency vehicle,Siren"
13508,"New-age music,Music"
13509,Rumble
13510,"Effects unit,Guitar,Acoustic guitar,Music,Musical instrument,Chorus effect,Plucked string instrument"
13511,"Crowd,Battle cry"
13512,Squeal
13513,"Propeller, airscrew,Aircraft"
13514,Drawer open or close
13515,Sine wave
13516,"Music,Musical instrument,Keyboard (musical),Piano,Vibraphone"
13517,"Burping, eructation,Speech"
13518,"Toilet flush,Water"
13519,Sniff
13520,"Christmas music,Singing,Music,Independent music"
13521,Vacuum cleaner
13522,"Music,Shuffle"
13523,"Fart,Speech"
13524,"Yodeling,Music"
13525,"Jingle, tinkle"
13526,Snoring
13527,"Marimba, xylophone,Glockenspiel,Mallet percussion"
13528,"Harp,Pizzicato"
13529,"Beep, bleep,Music,Speech"
13530,Environmental noise
13531,"Music,Scary music"
13532,"Music,Speech synthesizer"
13533,"Speech,Fire alarm"
13534,Conversation
13535,Waterfall
13536,"Jingle (music),Music"
13537,"Ratchet, pawl,Pulleys,Gears,Mechanisms"
13538,"Boat, Water vehicle,Waves, surf,Wind,Ocean,Sailboat, sailing ship,Wind noise (microphone)"
13539,"Engine,Vehicle,Noise,Speech"
13540,"Alarm,Fire alarm"
13541,"Rain,Rustle"
13542,Whale vocalization
13543,"Bus,Reversing beeps,Vehicle,Speech"
13544,Ding
13545,"Effects unit,Music,Distortion"
13546,"Carnatic music,Music"
13547,"Music,Ambient music"
13548,Fire
13549,"Subway, metro, underground,Railroad car, train wagon,Train horn,Rail transport,Train,Train wheels squealing"
13550,"Electric piano,Keyboard (musical),Piano"
13551,"Echo,Music,Speech"
13552,"Effects unit,Electric guitar,Guitar,Music,Musical instrument,Plucked string instrument,Distortion"
13553,Vacuum cleaner
13554,Yip
13555,Gong
13556,"Chant,Music"
13557,"Music,Rapping"
13558,"Chainsaw,Tools,Speech"
13559,Mantra
13560,"Thunk,Speech"
13561,"Sampler,Music,Speech"
13562,"Organ,Hammond organ"
13563,"Speech,Typewriter"
13564,"Creak,Mechanisms"
13565,Telephone bell ringing
13566,"Train whistle,Steam whistle,Steam,Hiss"
13567,"Music,Boing"
13568,"Mantra,Music"
13569,Change ringing (campanology)
13570,Heavy engine (low frequency)
13571,"Stir,Frying (food)"
13572,"Music,Eruption"
13573,"Singing,Music,Rock and roll"
13574,"Explosion,Speech,Fireworks"
13575,"Sonar,Whoosh, swoosh, swish,Speech,Sound effect"
13576,"Stomach rumble,Speech"
13577,"Toothbrush,Speech"
13578,"Snort,Speech,Breathing"
13579,"Gunshot, gunfire,Artillery fire"
13580,"Vehicle,Speech,Tire squeal,Car"
13581,"Skateboard,Single-lens reflex camera,Speech"
13582,"Roaring cats (lions, tigers),Animal"
13583,"Tick-tock,Tick"
13584,"Smash, crash,Whack, thwack"
13585,"Silence,Music,Electronic tuner"
13586,"Background music,Music,Soul music"
13587,Reggae
13588,"Burping, eructation,Speech"
13589,"Music,Sizzle,Speech"
13590,Orchestra
13591,"Yodeling,Speech"
13592,Whistle
13593,"Domestic animals, pets,Caterwaul,Animal"
13594,Drum and bass
13595,"Music,Thump, thud"
13596,Singing bowl
13597,"Music,Ping"
13598,"Scratching (performance technique),Music,Scratch"
13599,"Bird,Bird vocalization, bird call, bird song,Coo,Pigeon, dove"
13600,"Crowd,Cheering,Children shouting"
13601,"Turkey,Fowl,Gobble"
13602,"Wood block,Drum,Drum kit,Drum roll,Snare drum,Bass drum,Percussion"
13603,"Music,Mouse"
13604,"Aircraft engine,Vehicle,Speech,Aircraft,Outside, urban or manmade"
13605,"Babbling,Inside, small room"
13606,"Canidae, dogs, wolves,Music,Domestic animals, pets,Speech,Dog,Animal"
13607,"Music,Scary music,Outside, rural or natural"
13608,"Speech,Baby cry, infant cry"
13609,Static
13610,"Bathtub (filling or washing),Gargling,Speech,Child speech, kid speaking"
13611,"Ratchet, pawl,Gears,Mechanisms"
13612,"Music,Scary music"
13613,"Goat,Bleat,Animal"
13614,"Music,Funny music"
13615,"Music of Africa,Music"
13616,"Cello,Double bass,Bowed string instrument"
13617,Buzzer
13618,"Electronic music,Music,Reggae,Hip hop music"
13619,"Music,Ping"
13620,"Crowd,Children shouting"
13621,String section
13622,"Singing,Music,Psychedelic rock"
13623,"Music,Funny music"
13624,"Music,Groan,Speech,Inside, small room"
13625,"Domestic animals, pets,Pant,Dog,Animal"
13626,Cash register
13627,"Hiccup,Speech"
13628,"Music,Boom"
13629,"Bagpipes,Wind instrument, woodwind instrument"
13630,"Heart murmur,Music"
13631,Fire
13632,"Hoot,Owl"
13633,"Drill,Tools,Pump (liquid),Water,Power tool"
13634,"Explosion,Music,Burst, pop,Speech"
13635,"Crack,Speech,Inside, small room"
13636,"Squeal,Speech"
13637,"Music,Gargling,Speech,Soundtrack music"
13638,"Roar,Animal"
13639,Squeal
13640,Cough
13641,"Trickle, dribble"
13642,Ding-dong
13643,"Singing,Music,Punk rock"
13644,"Filing (rasp),Wood"
13645,"Music,Bellow,Whoop"
13646,"Effects unit,Chorus effect"
13647,"Music,Ska"
13648,"Busy signal,Music"
13649,"Harp,Pizzicato"
13650,"Hiccup,Speech"
13651,"Cattle, bovinae,Moo,Livestock, farm animals, working animals"
13652,"Singing,Bang"
13653,Purr
13654,"Mains hum,Hum"
13655,"Skidding,Vehicle,Car,Race car, auto racing"
13656,"Speech,Children playing"
13657,"Music,Boom"
13658,"Narration, monologue,Speech"
13659,"Canidae, dogs, wolves,Bark,Domestic animals, pets,Howl,Dog,Animal"
13660,"Music,Speech,Synthesizer"
13661,Ding-dong
13662,"Ringtone,Music,Speech"
13663,"Music,Soul music"
13664,"Spray,Speech"
13665,"Telephone dialing, DTMF,Speech"
13666,Crushing
13667,"Blues,Singing,Swing music,Country,Music,Rhythm and blues,Music of Latin America"
13668,Chainsaw
13669,Coin (dropping)
13670,"Music,Male singing"
13671,"Engine,Skidding,Vehicle,Tire squeal,Car"
13672,"Echo,Guitar,Music,Musical instrument,Plucked string instrument,Inside, small room"
13673,"Explosion,Speech,Inside, small room"
13674,"Scrape,Speech"
13675,"Music,Punk rock"
13676,Humming
13677,"Walk, footsteps"
13678,"Power windows, electric windows"
13679,"Organ,Hammond organ"
13680,Typewriter
13681,"Chewing, mastication,Crunch"
13682,"Hiccup,Wheeze,Speech"
13683,"Conversation,Speech"
13684,"Music,Squish"
13685,Static
13686,"Sawing,Rub,Splinter,Wood"
13687,"Singing,Music,Middle Eastern music"
13688,"Music,Speech,Boing"
13689,"Organ,Electronic organ"
13690,"Tabla,Drum,Percussion"
13691,Throbbing
13692,Filing (rasp)
13693,"Cello,Double bass,Bowed string instrument"
13694,"Domestic animals, pets,Howl,Dog"
13695,Rattle (instrument)
13696,"Bird flight, flapping wings"
13697,Zipper (clothing)
13698,"Railroad car, train wagon,Rail transport,Train,Train wheels squealing"
13699,"Hoot,Owl"
13700,"Singing,Carnatic music"
13701,"Pour,Speech"
13702,"Singing,Folk music,Music,Song"
13703,"Afrobeat,Music"
13704,"Music,Musical instrument,Wind instrument, woodwind instrument,Classical music,Flute"
13705,"Gunshot, gunfire,Cap gun"
13706,Singing bowl
13707,"Music,Skateboard"
13708,"Psychedelic rock,Progressive rock"
13709,"Music,Happy music"
13710,"Boat, Water vehicle,Waves, surf,Wind,Sailboat, sailing ship,Wind noise (microphone)"
13711,"Music,Synthetic singing"
13712,"Shout,Speech"
13713,"Snort,Speech"
13714,"Ding,Clang"
13715,"Sampler,Electronic music,House music,Music"
13716,"Smash, crash"
13717,"Harmonica,Wind instrument, woodwind instrument"
13718,"Speech,Throat clearing"
13719,"Whoosh, swoosh, swish"
13720,"Rumble,Vehicle,Car"
13721,"Rain,Raindrop,Rain on surface"
13722,"Bagpipes,Wind instrument, woodwind instrument"
13723,"Sanding,Rub"
13724,"Music,Speech,Speech synthesizer"
13725,"Country,Music,Bluegrass"
13726,"Cough,Brass instrument,Music,Musical instrument,Speech"
13727,Chopping (food)
13728,"Toothbrush,Speech"
13729,Typing
13730,"Pant,Speech"
13731,Helicopter
13732,"Toothbrush,Music,Speech"
13733,"Drum,Drum kit,Drum roll,Rimshot,Snare drum,Bass drum,Percussion"
13734,"Yell,Speech"
13735,"Tick-tock,Tick,Speech"
13736,Finger snapping
13737,"Music,Knock,Inside, small room,Outside, urban or manmade"
13738,Static
13739,"Music,Mandolin"
13740,"Music,Mandolin"
13741,"Hands,Inside, small room"
13742,"Music,Wedding music,Harmonic"
13743,"Bell,Church bell"
13744,"Singing,Scratching (performance technique),Music"
13745,Finger snapping
13746,Printer
13747,"Turkey,Fowl,Gobble"
13748,"Music of Africa,Music"
13749,Whistling
13750,Electric toothbrush
13751,Yip
13752,"Music,Cacophony"
13753,"Harp,Pizzicato"
13754,Jingle (music)
13755,Train whistle
13756,"Electric piano,Keyboard (musical),Piano"
13757,"Cat,Domestic animals, pets,Caterwaul,Speech,Animal"
13758,"Wind instrument, woodwind instrument,Flute"
13759,"Music,Ping,Speech"
13760,"Cupboard open or close,Speech"
13761,"Music,Musical instrument,Rattle (instrument),Marimba, xylophone"
13762,"Music,Quack,Duck,Speech"
13763,"Toilet flush,Water"
13764,"Vibration,Engine,Vehicle,Car"
13765,"Music,Dental drill, dentist's drill,Speech,Inside, small room"
13766,Tubular bells
13767,"Bell,Church bell"
13768,"House music,Music,Soul music"
13769,"Music,Ambient music"
13770,"Power windows, electric windows,Vehicle,Speech,Car"
13771,"Guitar,Music,Musical instrument,Speech,Electronic tuner,Plucked string instrument"
13772,"Wild animals,Roar,Roaring cats (lions, tigers),Animal"
13773,"Music,Vibraphone"
13774,"Jingle (music),Music"
13775,"Speech,Clapping"
13776,"Pulleys,Creak"
13777,"Ding,Jingle, tinkle"
13778,"Vehicle,Helicopter,Aircraft"
13779,"Boat, Water vehicle,Waves, surf,Ocean,Ship"
13780,"Music,Techno"
13781,"Brass instrument,French horn,Trumpet"
13782,"Afrobeat,Singing"
13783,"Music,Mandolin,Speech"
13784,"Fowl,Crowing, cock-a-doodle-doo,Chicken, rooster"
13785,Jackhammer
13786,"Mains hum,Hum"
13787,"Gospel music,Music"
13788,"Music,Lullaby"
13789,Engine knocking
13790,"Speech,Speech synthesizer"
13791,"Music,Psychedelic rock"
13792,Air conditioning
13793,"Guitar,Music,Tender music"
13794,"Bird,Splash, splatter,Duck"
13795,Ding-dong
13796,Writing
13797,"Heart sounds, heartbeat,Throbbing,Hum"
13798,"Doorbell,Music,Speech"
13799,"Electric piano,Music,Musical instrument,Keyboard (musical),Synthesizer"
13800,"Electric piano,Keyboard (musical),Piano"
13801,"Organ,Electronic organ"
13802,Hair dryer
13803,"Sliding door,Speech,Outside, rural or natural"
13804,Static
13805,Car alarm
13806,"Fire engine, fire truck (siren),Emergency vehicle,Siren"
13807,"Music,Boom,Speech"
13808,"Music,Reggae"
13809,"Wind chime,Wind,Chime"
13810,"Eruption,Speech"
13811,"Music,Sad music,Tender music"
13812,"Vibration,Engine,Speech"
13813,Sigh
13814,"Tools,Speech,Sewing machine"
13815,"Music,Grunge"
13816,Bell
13817,Blender
13818,Snake
13819,"Tearing,Speech,Inside, small room"
13820,"Siren,Civil defense siren"
13821,"Toothbrush,Speech,Child speech, kid speaking"
13822,"Laughter,Gargling,Speech"
13823,"Music,Throat clearing"
13824,"Steam whistle,Steam,Hiss"
13825,Slam
13826,"Explosion,Burst, pop"
13827,Vacuum cleaner
13828,"Music,Pulse"
13829,"Music,Ding-dong,Speech"
13830,"Fire engine, fire truck (siren),Emergency vehicle,Siren"
13831,"Music,Scary music"
13832,Raindrop
13833,"Singing,Music,Shout,Inside, large room or hall"
13834,"Cat,Domestic animals, pets,Meow,Caterwaul,Speech,Animal"
13835,"Fusillade,Music,Speech"
13836,"New-age music,Music"
13837,Arrow
13838,"Walk, footsteps,Outside, rural or natural"
13839,"Crackle,Speech"
13840,Tuning fork
13841,"Music,Male speech, man speaking"
13842,Whispering
13843,Orchestra
13844,"Clicking,Speech"
13845,Car passing by
13846,Glass
13847,"Trickle, dribble,Water,Speech"
13848,"Music,Salsa music"
13849,"Mains hum,Hum"
13850,Crackle
13851,"Music,Wedding music"
13852,Trance music
13853,"Sigh,Speech,Inside, small room"
13854,"Zither,Pizzicato"
13855,"Dial tone,Speech"
13856,"Heart sounds, heartbeat,Throbbing,Hum"
13857,"Shuffle,Speech"
13858,"Singing,Music,Vocal music,Female singing"
13859,"Sniff,Speech"
13860,"Music,Soundtrack music"
13861,Groan
13862,"Turkey,Fowl,Gobble"
13863,Skateboard
13864,"Music,Vehicle,Speech,Tire squeal"
13865,"Cat,Domestic animals, pets,Television,Caterwaul,Speech,Inside, small room"
13866,"Scissors,Speech"
13867,"Sniff,Inside, small room"
13868,"Hoot,Owl"
13869,"Field recording,Vehicle,Car"
13870,"Dental drill, dentist's drill,Speech"
13871,"Laughter,Music,Baby laughter,Inside, small room"
13872,"Music,Theremin"
13873,"Music,Speech,Speech synthesizer"
13874,"Power windows, electric windows"
13875,"Fart,Music,Speech"
13876,"Music,Theremin"
13877,"Singing,Music,Shout,Whoop,Inside, large room or hall"
13878,"Gasp,Speech"
13879,Printer
13880,Helicopter
13881,"Telephone dialing, DTMF,Telephone,Speech"
13882,"Sigh,Speech"
13883,"Music,Sheep,Bleat,Speech"
13884,Swing music
13885,"Finger snapping,Music"
13886,"Laughter,Music,Telephone bell ringing,Speech"
13887,"Music,Bellow,Whoop"
13888,"Quack,Duck,Speech,Animal"
13889,"Music,Rattle (instrument)"
13890,"Firecracker,Music,Speech"
13891,"Bus,Vehicle,Speech"
13892,"Music,Roll,Rock and roll"
13893,"Speech,Boiling"
13894,"Printer,Speech"
13895,"Ratchet, pawl,Mechanisms"
13896,Engine knocking
13897,Electric toothbrush
13898,"Speech,Hands"
13899,"Hoot,Owl"
13900,Air conditioning
13901,"Music,Rock music,Progressive rock"
13902,"Carnatic music,Music of Asia,Music,Musical instrument,Classical music"
13903,"Jackhammer,Outside, urban or manmade"
13904,"Drill,Tools,Power tool"
13905,Whistle
13906,"Liquid,Fill (with liquid)"
13907,"Laughter,Gargling,Speech"
13908,"Slap, smack"
13909,"Organ,Hammond organ"
13910,"Crowd,Cheering,Children shouting"
13911,"Theme music,Music,Speech"
13912,Jingle bell
13913,"Drum kit,Music,Musical instrument,Snare drum,Bass drum,Maraca"
13914,"Crying, sobbing,Music,Speech"
13915,"Music,Speech,Inside, public space"
13916,"Telephone dialing, DTMF,Speech,Outside, rural or natural"
13917,"Grunt,Speech,Inside, small room"
13918,"Cutlery, silverware"
13919,"Laughter,Fart"
13920,"Background music,New-age music,Music"
13921,Gong
13922,"Sampler,Music"
13923,String section
13924,"Banjo,Country,Music"
13925,"Boat, Water vehicle,Wind,Sailboat, sailing ship,Wind noise (microphone)"
13926,"Ambulance (siren),Emergency vehicle,Siren,Police car (siren)"
13927,Whip
13928,"Subway, metro, underground,Railroad car, train wagon,Rail transport,Train,Clickety-clack"
13929,"Drum,Drum kit,Drum roll,Rimshot,Snare drum,Bass drum,Percussion"
13930,Cacophony
13931,"Squish,Inside, small room"
13932,"Speech,Oink"
13933,"New-age music,Music"
13934,Bicycle bell
13935,"Bicycle,Vehicle,Speech"
13936,"Bass guitar,Tapping (guitar technique),Guitar,Music,Musical instrument,Distortion"
13937,"Sneeze,Speech"
13938,"Wind instrument, woodwind instrument,Flute"
13939,"Pump (liquid),Water"
13940,"Brass instrument,Cymbal,Drum,Drum kit,Hi-hat,Rimshot,Saxophone,Snare drum,Bass drum,Percussion"
13941,"Yodeling,Music,Inside, large room or hall"
13942,"Printer,Speech,Inside, small room"
13943,"Music,Ding-dong"
13944,"Music,Music for children,Violin, fiddle"
13945,"Railroad car, train wagon,Train horn,Rail transport,Train,Clickety-clack"
13946,"Gunshot, gunfire,Artillery fire"
13947,"Gunshot, gunfire,Machine gun"
13948,"Music,Electronica"
13949,"Boat, Water vehicle,Motorboat, speedboat"
13950,"Music,Quack,Speech"
13951,Stomach rumble
13952,"Harpsichord,Keyboard (musical)"
13953,"Music,Ukulele"
13954,Cash register
13955,Arrow
13956,"Music,Synthesizer"
13957,"Domestic animals, pets,Pant,Dog,Animal"
13958,"Explosion,Eruption,Burst, pop"
13959,"Dental drill, dentist's drill,Inside, small room"
13960,"Bass guitar,Guitar,Music,Musical instrument,Plucked string instrument,Inside, small room"
13961,"Chink, clink"
13962,"Drip,Speech"
13963,String section
13964,"Laughter,Male speech, man speaking,Speech"
13965,"Music,Grunt,Speech"
13966,"Music,Soul music"
13967,Clapping
13968,"Subway, metro, underground,Railroad car, train wagon,Rail transport,Train"
13969,Vacuum cleaner
13970,"Brass instrument,Jazz,Music,Musical instrument,Trumpet"
13971,Purr
13972,"Harmonica,Wind instrument, woodwind instrument"
13973,"Railroad car, train wagon,Train whistle,Rail transport,Train,Clickety-clack"
13974,Bouncing
13975,"Disco,Music"
13976,"Didgeridoo,Music"
13977,"Harmonica,Wind instrument, woodwind instrument"
13978,"Bird,Bird vocalization, bird call, bird song,Coo,Pigeon, dove"
13979,"Music,Pour"
13980,"Bird,Bird vocalization, bird call, bird song,Coo,Pigeon, dove"
13981,Ska
13982,Light engine (high frequency)
13983,"Canidae, dogs, wolves,Domestic animals, pets,Dog,Animal,Inside, small room"
13984,"Flap,Vehicle,Car,Outside, rural or natural"
13985,Chopping (food)
13986,"Music,Soul music"
13987,"Bird,Bird vocalization, bird call, bird song,Chirp, tweet"
13988,"Music,Music for children"
13989,"Singing,Yodeling,Flamenco,Music,Music of Latin America"
13990,Ringtone
13991,"New-age music,Music"
13992,"Wind instrument, woodwind instrument,Flute"
13993,"Fart,Music,Speech"
13994,"Music,Mouse"
13995,Whale vocalization
13996,"Siren,Civil defense siren"
13997,"Music,Theremin"
13998,Whispering
13999,"Music,Speech,Boing,Inside, small room"
14000,"Music,Boing"
14001,"Music,Noise"
14002,"Music,Chink, clink,Speech"
14003,Blender
14004,Crackle
14005,"Rain,Rustle,Raindrop,Rain on surface"
14006,"Snicker,Speech"
14007,"Drill,Tools,Power tool"
14008,"Telephone dialing, DTMF,Speech,Inside, small room"
14009,"Screaming,Music,Speech,Inside, large room or hall"
14010,"Music,Steel guitar, slide guitar"
14011,"Splash, splatter,Speech,Child speech, kid speaking"
14012,"Drum and bass,Music"
14013,"Toilet flush,Water"
14014,"Insect,Cricket"
14015,Speech synthesizer
14016,Eruption
14017,"Tick-tock,Tick"
14018,Blender
14019,"Gunshot, gunfire,Cap gun"
14020,"Singing,Hands,Clapping"
14021,"Railroad car, train wagon,Train whistle,Rail transport,Train"
14022,"Boat, Water vehicle,Motorboat, speedboat,Wind,Ocean,Sailboat, sailing ship,Wind noise (microphone)"
14023,Vacuum cleaner
14024,Waterfall
14025,"Music,Dental drill, dentist's drill,Speech"
14026,"Bird,Squawk"
14027,"Gears,Mechanisms"
14028,"Music,Shout"
14029,"Trickle, dribble"
14030,"Air conditioning,Speech"
14031,"Bicycle,Vehicle,Speech"
14032,"Music,Speech,Bicycle bell,Inside, small room"
14033,"Ice cream truck, ice cream van"
14034,"Dental drill, dentist's drill,Outside, urban or manmade"
14035,"Typing,Music,Speech"
14036,"Biting,Speech,Inside, small room"
14037,"Bee, wasp, etc.,Insect,Fly, housefly"
14038,"Tubular bells,Marimba, xylophone,Glockenspiel"
14039,"Beep, bleep"
14040,"Music,Vibraphone"
14041,Gong
14042,"Slosh,Speech,Inside, small room"
14043,Gasp
14044,Chopping (food)
14045,"Beep, bleep,Clicking"
14046,"Fowl,Cluck"
14047,"Music,Electronic dance music"
14048,"Music,Boom"
14049,"Cough,Speech,Throat clearing,Inside, small room"
14050,"Engine,Light engine (high frequency)"
14051,"Busy signal,Speech"
14052,"Wind instrument, woodwind instrument,Shofar"
14053,"Singing,Music of Asia"
14054,"Motorcycle,Vehicle,Engine starting"
14055,"Carnatic music,Music"
14056,"Subway, metro, underground,Railroad car, train wagon,Rail transport,Train,Clickety-clack"
14057,"Brass instrument,French horn"
14058,"Dial tone,Music,Speech"
14059,"Guitar,Music,Musical instrument,Steel guitar, slide guitar,Plucked string instrument"
14060,Whistle
14061,"Ding,Clang"
14062,"Jingle, tinkle"
14063,"Rain,Raindrop,Rain on surface"
14064,"Bagpipes,Wind instrument, woodwind instrument"
14065,Whistling
14066,"Music,Harmonic"
14067,"Sink (filling or washing),Water tap, faucet,Water"
14068,"Humming,Music,Speech"
14069,"Singing,Electronic music,Music,Synthetic singing,Inside, large room or hall"
14070,"Music,Synthesizer"
14071,"White noise,Outside, rural or natural"
14072,"Narration, monologue,Speech"
14073,"Sink (filling or washing),Water tap, faucet,Water"
14074,Drum and bass
14075,Environmental noise
14076,"Music,Duck"
14077,String section
14078,Typewriter
14079,Flap
14080,"Bird,Bird vocalization, bird call, bird song,Chirp, tweet"
14081,"Singing,Electronic music,Music,Bang"
14082,"Buzz,Speech"
14083,"Beatboxing,Music,Speech"
14084,"Dial tone,Speech"
14085,"Keys jangling,Speech"
14086,"Motorcycle,Skidding,Vehicle,Speech"
14087,Gong
14088,"Cello,Double bass,Bowed string instrument"
14089,"Music,Environmental noise,Speech"
14090,"Slap, smack"
14091,"New-age music,Music"
14092,"Music,A capella"
14093,Jingle bell
14094,"Writing,Speech"
14095,Trance music
14096,"Electronic music,Music,Trance music"
14097,"Music,Scratch,Inside, small room"
14098,"Sine wave,Chirp tone"
14099,"Traffic noise, roadway noise,Microwave oven"
14100,Singing bowl
14101,Arrow
14102,"Foghorn,Music,Speech,Inside, small room"
14103,"Railroad car, train wagon,Rail transport,Train,Train wheels squealing"
14104,Zipper (clothing)
14105,"Fire engine, fire truck (siren),Emergency vehicle,Toot,Truck,Vehicle,Vehicle horn, car horn, honking"
14106,"Boat, Water vehicle,Waves, surf,Wind,Ocean,Sailboat, sailing ship,Wind noise (microphone)"
14107,"Sampler,Music,Drum machine,Synthesizer"
14108,"Music,Ska"
14109,"Domestic animals, pets,Dog,Growling,Animal"
14110,Mouse
14111,"Finger snapping,Shuffling cards,Speech"
14112,"Bathtub (filling or washing),Water"
14113,"Gunshot, gunfire,Artillery fire"
14114,"Creak,Mechanisms"
14115,"Hammer,Tools"
14116,"New-age music,Music,Ambient music"
14117,"Door,Sliding door,Speech"
14118,"Mandolin,Rustling leaves"
14119,"Electric shaver, electric razor,Inside, small room"
14120,"Bell,Music"
14121,"Narration, monologue,Music"
14122,"Vibration,Vehicle"
14123,"Dial tone,Music,Speech"
14124,"Engine,Toot,Vehicle,Speech,Car"
14125,"Fire engine, fire truck (siren),Emergency vehicle,Siren"
14126,"Music,Mouse,Speech"
14127,"Brass instrument,Clarinet,Trombone"
14128,Hammer
14129,"Laughter,Wheeze,Speech"
14130,Light engine (high frequency)
14131,"Music,Musical instrument,Ukulele,Plucked string instrument"
14132,Change ringing (campanology)
14133,"Wood block,Drum,Percussion"
14134,Chopping (food)
14135,"Cash register,Speech"
14136,"Bark,Domestic animals, pets,Yip,Bow-wow,Speech,Dog,Whimper (dog)"
14137,"Wild animals,Roar,Music,Speech,Roaring cats (lions, tigers),Animal"
14138,"Ice cream truck, ice cream van,Music,Vehicle"
14139,"Dial tone,Telephone bell ringing,Speech"
14140,"Music,Synthetic singing"
14141,"Crowd,Battle cry"
14142,New-age music
14143,"Music,Tambourine"
14144,"Swing music,Music"
14145,"Belly laugh,Speech,Child speech, kid speaking,Inside, small room"
14146,Bicycle bell
14147,Flap
14148,"Cupboard open or close,Speech"
14149,Wheeze
14150,"Doorbell,Music,Speech"
14151,Blender
14152,"Echo,Music"
14153,"Orchestra,Marimba, xylophone,Glockenspiel,Mallet percussion"
14154,"Snoring,Cupboard open or close"
14155,"Music,Pop music,Rhythm and blues"
14156,"Screaming,Music,Speech"
14157,"Gunshot, gunfire,Machine gun"
14158,"Radio,Speech"
14159,"Music,Funny music"
14160,Keys jangling
14161,"Brass instrument,Saxophone,Trombone,Trumpet,Wind instrument, woodwind instrument"
14162,"Rustling leaves,Speech"
14163,"Skateboard,Speech,Outside, urban or manmade"
14164,"Railroad car, train wagon,Train horn,Rail transport,Steam,Train"
14165,"Tearing,Inside, small room"
14166,"Crying, sobbing,Music,Speech"
14167,Boing
14168,Christmas music
14169,Buzzer
14170,"Speech,Boiling"
14171,"Shuffling cards,Speech"
14172,"Smoke detector, smoke alarm,Speech"
14173,"Music,Biting"
14174,"Music,Boing"
14175,"Music,Harmonic"
14176,"Pant,Speech"
14177,"Jingle, tinkle"
14178,"Music,Quack"
14179,Gasp
14180,Grunt
14181,"Music,Lullaby"
14182,"Organ,Electronic organ"
14183,"Ambulance (siren),Car alarm,Emergency vehicle,Siren"
14184,"Country,Guitar,Acoustic guitar,Music,Musical instrument,Strum,Plucked string instrument,Bluegrass"
14185,"Disco,Music,Trance music,Speech"
14186,"Music,Drum machine,Progressive rock,Grunge"
14187,"Music,Electronica"
14188,Grunge
14189,Biting
14190,"Aircraft engine,Vehicle,Speech,Fixed-wing aircraft, airplane,Aircraft"
14191,Whistling
14192,Clang
14193,"Music,Scratch"
14194,"Electric shaver, electric razor,Speech,Inside, large room or hall"
14195,"Bee, wasp, etc.,Insect,Fly, housefly"
14196,"Crowd,Music,Rock music,Shout,Bang"
14197,"Cat,Domestic animals, pets,Meow,Animal"
14198,Sneeze
14199,"Mains hum,Hum"
14200,"Organ,Hammond organ"
14201,"Train horn,Vehicle horn, car horn, honking"
14202,"Mouse,Speech"
14203,"Mantra,Chant,Music,Vocal music"
14204,"Boat, Water vehicle,Rowboat, canoe, kayak"
14205,Sine wave
14206,"Engine,Idling,Medium engine (mid frequency)"
14207,Orchestra
14208,"Crack,Speech,Inside, small room"
14209,"Drip,Water,Speech"
14210,"Electric guitar,Guitar,Music,Musical instrument,Plucked string instrument,Boing"
14211,"Cat,Purr,Domestic animals, pets,Speech,Animal"
14212,Electric toothbrush
14213,"Music,Pop music,Bang"
14214,"Slap, smack"
14215,"Electric piano,Keyboard (musical),Piano"
14216,Belly laugh
14217,Theme music
